Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,155.05,-41.775,180,top
C2,30p,C_0402_1005Metric,144.95,-59.9,0,top
C3,30p,C_0402_1005Metric,148.15,-62.55,-90,top
C4,1u,C_0402_1005Metric,155.05,-46.575,180,top
C5,100n,C_0402_1005Metric,142.8,-40.1,0,top
C6,100n,C_0402_1005Metric,145.65,-45.4,90,top
C7,100n,C_0402_1005Metric,148.5,-58.6,-90,top
C8,1u,C_0402_1005Metric,149.9,-46,90,top
C9,100n,C_0402_1005Metric,146.7,-46,90,top
C10,1u,C_0402_1005Metric,150.95,-47,90,top
C11,100n,C_0402_1005Metric,141.65,-49.3,180,top
C12,100n,C_0402_1005Metric,155.1,-53.69,0,top
C13,100n,C_0402_1005Metric,140.13,-54.45,180,top
C14,100n,C_0402_1005Metric,147.47,-58.6,-90,top
C15,100n,C_0402_1005Metric,152.15,-49.75,0,top
C16,100n,C_0402_1005Metric,152.15,-48.7,0,top
J1,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,152.37,-110.49,90,top
J2,Conn_01x05_Female,PinSocket_1x05_P2.00mm_Vertical,134.28,-114.84,90,top
J3,Screw_Terminal_01x20,Wago_734-150_1x20_P3.50mm_Vertical,126.86,-43.23,-90,top
J4,Conn_01x04_Female,PinSocket_1x04_P2.00mm_Vertical,163.1,-65.73,180,top
J5,Conn_01x05_Female,PinSocket_1x05_P2.00mm_Vertical,163.1,-78.74,180,top
J6,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,159.91,-44.57,0,top
J7,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,147.29,-114.82,90,top
J8,Conn_01x04_Female,PinSocket_1x04_P2.00mm_Vertical,163.11,-54.72,180,top
R1,1k,R_0402_1005Metric,136.7,-48.9,-90,top
R2,10k,R_0402_1005Metric,133.7,-41.54,-90,top
R3,27,R_0402_1005Metric,147.75,-46,-90,top
R4,27,R_0402_1005Metric,148.83,-46,-90,top
R5,1k,R_0402_1005Metric,146.45,-59.45,90,top
R6,5.1k,R_0402_1005Metric,142.15,-34.05,180,top
R7,5.1k,R_0402_1005Metric,146.55,-34.5,-90,top
SW19,SW_Push,SW_SPST_Omron_B3FS-100xP,142.35,-74.1,90,top
SW20,SW_Push,SW_SPST_Omron_B3FS-100xP,149.5,-74.1,-90,top
U1,TLV73333PDBV,SOT-23-5,154.55,-44.175,-90,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,139.1,-43.6,0,top
U3,RP2040,RP2040-QFN-56,146.9,-52.7,0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,145,-24.5,180,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,145.8,-62.55,-90,top
