Comment,Designator,Footprint,LCSC
"1u","C1,C4,C8,C10","Capacitor_SMD:C_0402_1005Metric","C52923"
"30p","C2,C3","Capacitor_SMD:C_0402_1005Metric","C1570"
"100n","C5,C6,C7,C9,C11,C12,C13,C14,C15,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3",""
"Conn_01x02_Female","J1","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Conn_01x05_Female","J2,J5","Connector_PinSocket_2.00mm:PinSocket_1x05_P2.00mm_Vertical",""
"Screw_Terminal_01x20","J3","Connector_Wago:Wago_734-150_1x20_P3.50mm_Vertical",""
"Conn_01x04_Female","J4,J8","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical",""
"Conn_01x04_Female","J6,J7","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"Conn_02x10_Odd_Even","J9","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Vertical",""
"1k","R1,R5","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R2","Resistor_SMD:R_0402_1005Metric","C25744"
"27","R3,R4","Resistor_SMD:R_0402_1005Metric","C138021"
"5.1k","R6,R7","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_Push","SW19,SW20","Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP","C271750"
"TLV73333PDBV","U1","Package_TO_SOT_SMD:SOT-23-5","C134139"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U3","RP2040:RP2040-QFN-56","C2040"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
